zip,city,county,market_code
31547,Kings Bay,Camden,JAX
31548,Kingsland,Camden,JAX
31558,St Marys,Camden,JAX
31562,Saint George,Charlton,JAX
32003,Fleming Island,Clay,JAX
32009,Bryceville,Nassau,JAX
32011,Callahan,Nassau,JAX
32025,Lake City,Columbia,JAX
32026,Raiford,Union,JAX
32033,Elkton,St Johns,JAX
32034,Fernandina Beach,Nassau,JAX
32040,Glen Saint Mary,Baker,JAX
32043,Green Cove Springs,Clay,JAX
32044,Hampton,Bradford,JAX
32046,Hilliard,Nassau,JAX
32054,Lake Butler,Union,JAX
32055,Lake City,Columbia,JAX
32058,Lawtey,Bradford,JAX
32061,Lulu,Columbia,JAX
32063,Macclenny,Baker,JAX
32065,Orange Park,Clay,JAX
32068,Middleburg,Clay,JAX
32072,Olustee,Baker,JAX
32073,Orange Park,Clay,JAX
32079,Penney Farms,Clay,JAX
32080,St Augustine,St Johns,JAX
32081,Nocatee,St Johns,JAX
32082,Ponte Vedra Beach,St Johns,JAX
32083,Raiford,Union,JAX
32084,St Augustine,St Johns,JAX
32086,St Augustine,St Johns,JAX
32087,Sanderson,Baker,JAX
32091,Starke,Bradford,JAX
32092,St Augustine,St Johns,JAX
32095,St Augustine,St Johns,JAX
32097,Yulee,Nassau,JAX
32102,Astor,Lake,ORL
32110,Bunnell,Flagler,JAX
32111,Candler,Marion,ORL
32112,Crescent City,Putnam,JAX
32113,De Leon Springs,Volusia,JAX
32114,Daytona Beach,Volusia,JAX
32117,Daytona Beach,Volusia,JAX
32118,Daytona Beach Shores,Volusia,JAX
32124,DeLand,Volusia,JAX
32130,Eustis,Lake,JAX
32131,Paola,Lake,JAX
32133,Eastlake Weir,Marion,ORL
32134,Fort Mc Coy,Marion,ORL
32136,Umatilla,Lake,JAX
32137,Palm Coast,Flagler,JAX
32139,Georgetown,Putnam,JAX
32140,Palm Coast,Flagler,JAX
32145,Hastings,St Johns,JAX
32147,Lake Panasoffkee,Sumter,JAX
32148,Leesburg,Lake,JAX
32157,Mount Dora,Lake,JAX
32158,Lady Lake,Lake,ORL
32159,Lady Lake,Lake,ORL
32162,The Villages,Sumter,ORL
32163,The Villages,Sumter,ORL
32164,Ocklawaha,Marion,JAX
32174,Ormond Beach,Volusia,JAX
32176,Ormond Beach,Volusia,JAX
32177,Palatka,Putnam,JAX
32179,Ocklawaha,Marion,ORL
32180,Pierson,Volusia,JAX
32181,Pomona Park,Putnam,JAX
32182,Orange Springs,Marion,JAX
32183,Ocklawaha,Marion,ORL
32187,San Mateo,Putnam,JAX
32189,Satsuma,Putnam,JAX
32190,Seville,Volusia,JAX
32192,Sparr,Marion,ORL
32193,Welaka,Putnam,JAX
32195,Weirsdale,Marion,ORL
32202,Jacksonville,Duval,JAX
32203,Jacksonville,Duval,JAX
32204,Jacksonville,Duval,JAX
32205,Jacksonville,Duval,JAX
32206,Jacksonville,Duval,JAX
32207,Jacksonville,Duval,JAX
32208,Jacksonville,Duval,JAX
32209,Jacksonville,Duval,JAX
32210,Jacksonville,Duval,JAX
32211,Jacksonville,Duval,JAX
32212,Jacksonville,Duval,JAX
32214,Jacksonville,Duval,JAX
32216,Jacksonville,Duval,JAX
32217,Jacksonville,Duval,JAX
32218,Jacksonville,Duval,JAX
32219,Jacksonville,Duval,JAX
32220,Jacksonville,Duval,JAX
32221,Jacksonville,Duval,JAX
32222,Jacksonville,Duval,JAX
32223,Jacksonville,Duval,JAX
32224,Jacksonville,Duval,JAX
32225,Jacksonville,Duval,JAX
32226,Jacksonville,Duval,JAX
32227,Jacksonville,Duval,JAX
32228,Jacksonville,Duval,JAX
32233,Jacksonville,Duval,JAX
32234,Jacksonville,Duval,JAX
32244,Jacksonville,Duval,JAX
32246,Jacksonville,Duval,JAX
32250,Jacksonville,Duval,JAX
32254,Jacksonville,Duval,JAX
32256,Jacksonville,Duval,JAX
32257,Jacksonville,Duval,JAX
32258,Jacksonville,Duval,JAX
32259,St Johns,St Johns,JAX
32266,Jacksonville,Duval,JAX
32277,Jacksonville,Duval,JAX
32601,Gainesville,Alachua,JAX
32603,Gainesville,Alachua,JAX
32605,Gainesville,Alachua,JAX
32606,Gainesville,Alachua,JAX
32607,Gainesville,Alachua,JAX
32608,Gainesville,Alachua,JAX
32609,Gainesville,Alachua,JAX
32610,Gainesville,Alachua,JAX
32612,Gainesville,Alachua,JAX
32615,Alachua,Alachua,JAX
32617,Anthony,Marion,ORL
32622,Brooker,Bradford,JAX
32631,Earleton,Alachua,JAX
32634,Fairfield,Marion,JAX
32640,Hawthorne,Alachua,JAX
32641,High Springs,Alachua,JAX
32653,Gainesville,Alachua,JAX
32656,Keystone Heights,Clay,JAX
32658,La Crosse,Alachua,JAX
32664,Newberry,Alachua,JAX
32666,Micanopy,Alachua,JAX
32667,Melrose,Putnam,JAX
32681,Orange Lake,Alachua,JAX
32686,Reddick,Marion,JAX
32694,Waldo,Alachua,JAX
32697,Worthington Springs,Union,JAX
32701,Altamonte Springs,Seminole,ORL
32702,Altoona,Lake,ORL
32703,Apopka,Orange,ORL
32704,Apopka,Orange,ORL
32707,Casselberry,Seminole,ORL
32708,Winter Springs,Seminole,ORL
32709,Christmas,Orange,ORL
32710,Clarcona,Orange,ORL
32712,Apopka,Seminole,ORL
32714,Altamonte Springs,Seminole,ORL
32715,Altamonte Springs,Seminole,ORL
32716,Altamonte Springs,Seminole,ORL
32718,Casselberry,Seminole,ORL
32719,Winter Springs,Seminole,ORL
32720,Deland,Lake,ORL
32726,Eustis,Lake,ORL
32727,Eustis,Lake,ORL
32730,Casselberry,Seminole,ORL
32732,Geneva,Seminole,ORL
32733,Goldenrod,Seminole,ORL
32735,Grand Island,Lake,ORL
32736,Eustis,Lake,ORL
32745,Mid Florida,Seminole,ORL
32746,Lake Mary,Seminole,ORL
32747,Lake Monroe,Seminole,ORL
32750,Longwood,Seminole,ORL
32751,Maitland,Orange,ORL
32752,Longwood,Seminole,ORL
32756,Mount Dora,Lake,ORL
32757,Mount Dora,Lake,ORL
32762,Oviedo,Seminole,ORL
32765,Oviedo,Seminole,ORL
32766,Oviedo,Seminole,ORL
32767,Paisley,Lake,ORL
32768,Plymouth,Orange,ORL
32771,Sanford,Seminole,ORL
32772,Sanford,Seminole,ORL
32773,Sanford,Seminole,ORL
32776,Sorrento,Lake,ORL
32777,Tangerine,Orange,ORL
32778,Tavares,Lake,ORL
32779,Longwood,Seminole,ORL
32784,Umatilla,Lake,ORL
32789,Winter Park,Orange,ORL
32790,Winter Park,Orange,ORL
32791,Longwood,Seminole,ORL
32792,Winter Park,Orange,ORL
32793,Winter Park,Orange,ORL
32794,Maitland,Orange,ORL
32795,Lake Mary,Seminole,ORL
32798,Zellwood,Orange,ORL
32799,Mid Florida,Seminole,ORL
32801,Orlando,Orange,ORL
32802,Orlando,Orange,ORL
32803,Orlando,Orange,ORL
32804,Orlando,Orange,ORL
32805,Orlando,Orange,ORL
32806,Orlando,Orange,ORL
32807,Orlando,Orange,ORL
32808,Orlando,Orange,ORL
32809,Orlando,Orange,ORL
32810,Orlando,Orange,ORL
32811,Orlando,Orange,ORL
32812,Orlando,Orange,ORL
32814,Orlando,Orange,ORL
32816,Orlando,Orange,ORL
32817,Orlando,Orange,ORL
32818,Orlando,Orange,ORL
32819,Orlando,Orange,ORL
32820,Orlando,Orange,ORL
32821,Orlando,Orange,ORL
32822,Orlando,Orange,ORL
32824,Orlando,Orange,ORL
32825,Orlando,Orange,ORL
32826,Orlando,Orange,ORL
32827,Orlando,Orange,ORL
32828,Orlando,Orange,ORL
32829,Orlando,Orange,ORL
32830,Orlando,Orange,ORL
32831,Orlando,Orange,ORL
32832,Orlando,Orange,ORL
32833,Orlando,Orange,ORL
32834,Orlando,Orange,ORL
32835,Orlando,Orange,ORL
32836,Orlando,Orange,ORL
32837,Orlando,Orange,ORL
32839,Orlando,Orange,ORL
32853,Orlando,Orange,ORL
32854,Orlando,Orange,ORL
32855,Orlando,Orange,ORL
32856,Orlando,Orange,ORL
32857,Orlando,Orange,ORL
32858,Orlando,Orange,ORL
32859,Orlando,Orange,ORL
32860,Orlando,Orange,ORL
32861,Orlando,Orange,ORL
32862,Orlando,Orange,ORL
32867,Orlando,Orange,ORL
32868,Orlando,Orange,ORL
32869,Orlando,Orange,ORL
32872,Orlando,Orange,ORL
32877,Orlando,Orange,ORL
32878,Orlando,Orange,ORL
32885,Orlando,Orange,ORL
32886,Orlando,Orange,ORL
32887,Orlando,Orange,ORL
32891,Orlando,Orange,ORL
32896,Orlando,Orange,ORL
32897,Orlando,Orange,ORL
33001,Key Largo,Monroe,MIAMI
33002,Hialeah,Miami-Dade,MIAMI
33004,Dania,Broward,FTLAU
33008,Hallandale,Broward,FTLAU
33009,Hallandale,Broward,FTLAU
33010,Hialeah,Miami-Dade,MIAMI
33011,Hialeah,Miami-Dade,MIAMI
33012,Hialeah,Miami-Dade,MIAMI
33013,Hialeah,Miami-Dade,MIAMI
33014,Hialeah,Miami-Dade,MIAMI
33015,Hialeah,Miami-Dade,MIAMI
33016,Hialeah,Miami-Dade,MIAMI
33017,Hialeah,Miami-Dade,MIAMI
33018,Hialeah,Miami-Dade,MIAMI
33019,Hollywood,Broward,FTLAU
33020,Hollywood,Broward,FTLAU
33021,Hollywood,Broward,FTLAU
33022,Hollywood,Broward,FTLAU
33023,Hollywood,Broward,FTLAU
33024,Hollywood,Broward,FTLAU
33025,Hollywood,Broward,FTLAU
33026,Hollywood,Broward,FTLAU
33027,Hollywood,Broward,FTLAU
33028,Hollywood,Broward,FTLAU
33029,Hollywood,Broward,FTLAU
33030,Homestead,Miami-Dade,MIAMI
33031,Homestead,Miami-Dade,MIAMI
33032,Homestead,Miami-Dade,MIAMI
33033,Homestead,Miami-Dade,MIAMI
33034,Homestead,Miami-Dade,MIAMI
33036,Tavernier,Monroe,MIAMI
33037,Key Largo,Monroe,MIAMI
33039,Homestead,Miami-Dade,MIAMI
33050,Marathon,Monroe,MIAMI
33051,Key Colony Beach,Monroe,MIAMI
33053,Vaca Key,Monroe,MIAMI
33060,Pompano Beach,Broward,FTLAU
33061,Pompano Beach,Broward,FTLAU
33062,Pompano Beach,Broward,FTLAU
33063,Pompano Beach,Broward,FTLAU
33064,Pompano Beach,Broward,FTLAU
