"descr","NumRaw","NumSet","NumCnf","NumIssued","NumSat","NumSold","NumNetSold","GSA","NSA","MCost","WorkingAmount","EmpName","SDate","EDate","FullName","xbrn_id","xsrc_id","xsrs_id","xSortBy","CurrentDateTime","UseColor"
"Canvass","1494","1487","919","767","564","158","123","3638126","2944896","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Lead Gurus","2730","1095","606","516","435","117","70","2899750","1787107","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Modernize","3823","217","175","143","115","43","26","963533","507120","117124","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Google PPC Windows","174","66","63","59","53","16","11","455499","377658","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"MyHomePros","1392","135","107","89","67","23","15","416027","332245","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Previous Customer","40","40","40","40","39","24","22","371474","323640","0.0000","9921","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Canvass Sticky","57","44","43","40","35","13","10","306655","297155","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Customer Referral","25","23","23","23","23","10","9","239896","181941","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Reecewindows.com","24","22","22","20","19","8","5","189935","143700","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"MVP Marketing","193","193","43","37","30","8","5","151347","66972","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
