"descr","NumRaw","NumSet","NumCnf","NumIssued","NumSat","NumSold","NumNetSold","GSA","NSA","MCost","WorkingAmount","EmpName","SDate","EDate","FullName","xbrn_id","xsrc_id","xsrs_id","xSortBy","CurrentDateTime","UseColor"
"Canvass","1738","1710","1050","810","614","187","144","4520263","3528862","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Lead Gurus","2934","1215","725","607","520","136","94","3264182","2143275","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Modernize","3002","208","177","144","121","43","28","932128","580414","97994","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"MyHomePros","774","77","67","55","47","22","15","646914","369693","190828","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Google PPC Windows","175","59","54","47","40","13","11","417165","265519","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Customer Referral","21","20","20","20","20","11","10","325317","288417","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Canvass Sticky","63","49","44","36","33","13","13","312381","273494","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Previous Customer","36","36","36","30","29","19","17","281174","373116","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Self Generated","10","10","10","9","9","6","6","232250","232250","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"USA Today-DirectMail","5","5","5","5","4","4","3","214387","153387","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"TheHomeMag","33","24","24","22","20","5","5","109729","133276","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Best Pick","18","12","9","9","8","4","3","80426","26942","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"LeadPilot","128","123","17","13","10","3","0","70109","15928","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"TownShowCase","2","2","2","2","2","1","0","69872","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Fave Marketing","2","2","2","2","2","1","0","67758","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"GetTheReferral.Com","7","2","2","2","2","2","2","63752","23898","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Google Organic","20","14","13","11","11","2","2","61467","61467","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Naples New Hope Home Show","34","34","15","14","12","2","2","55258","44637","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Ygrene","8","5","5","5","4","2","2","55063","55063","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Install","3","3","3","3","3","3","3","54316","54316","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Google Service Ads","13","13","13","11","11","3","2","50623","35123","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Customer Referral","16","7","7","6","5","3","2","43384","288417","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"5 Star","23","10","10","9","7","2","2","33992","33992","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Google","40","8","7","6","5","1","0","27700","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"MVP Marketing","97","97","23","20","15","2","2","25298","25298","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Porch101","253","7","5","5","4","1","1","14126","14126","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Prolific Marketing","4","4","3","3","3","1","0","13000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Instagram","6","1","1","1","1","1","0","10297","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Reecewindows.com","67","5","3","3","3","1","1","5101","5101","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"","53","1","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Trucks","3","3","3","2","2","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Bing PPC","11","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
